name,year,fuel,seller_type,transmission,owner,km_driven,selling_price
295,7,0,0,1,1,15000,350000
296,6,1,0,0,0,50000,800000
297,9,0,0,0,1,70000,250000
298,7,0,0,0,0,10000,600000
142,2,1,0,0,0,90000,600000
229,4,0,0,0,0,40000,130000
133,12,0,0,0,1,62009,90000
299,2,0,0,0,1,33100,595000
117,3,0,0,0,1,40000,190000
300,22,0,0,0,1,120000,50000
1,0,0,0,0,0,80000,95000
301,4,1,0,0,0,70000,1000000
302,12,0,0,0,1,220000,220000
232,10,1,0,0,0,50000,400000
303,5,0,0,0,1,45000,315000
304,3,1,0,0,0,110000,1000000
305,3,1,0,0,0,49000,500000
306,6,1,0,1,0,35000,1600000
307,2,1,0,0,0,160000,500000
152,0,0,0,0,3,180000,70000
0,0,0,0,0,1,60000,105000
308,15,1,0,0,3,110000,400000
133,16,0,0,0,3,60000,80000
221,4,0,0,0,0,30000,300000
309,2,1,0,0,0,40000,409999
310,11,0,0,0,0,70000,250000
311,10,1,0,0,1,120000,250000
95,1,1,0,0,3,80000,215000
304,5,1,0,0,0,120000,1400000
312,6,0,0,0,0,20000,475000
312,6,0,0,0,0,22000,475000
116,15,0,0,0,1,35000,75000
313,8,1,0,0,1,120000,200000
314,7,0,0,0,0,8000,575000
275,9,1,0,0,1,40000,150000
315,6,1,0,0,0,10000,850000
316,7,0,0,0,0,30000,350000
308,9,1,0,0,1,54000,550000
243,2,0,0,0,0,80577,330000
317,2,1,0,0,0,25000,1044999
318,9,1,0,0,1,127500,300000
319,5,0,1,0,0,40903,235000
172,9,0,0,0,3,60000,120000
237,16,0,0,0,0,46000,130000
320,16,1,1,0,1,22288,275000
321,9,1,0,0,1,180000,270000
322,5,1,0,0,1,30000,500000
269,5,0,1,0,0,61690,400000
323,5,0,1,0,0,64484,600000
18,1,1,0,1,1,90000,1350000
324,8,1,1,0,1,75976,400000
160,9,1,0,0,1,70000,220000
137,1,0,1,0,1,85962,300000
325,6,0,0,0,0,120000,250000
194,5,1,0,0,0,120000,600000
326,1,0,0,1,1,75000,285000
327,11,0,1,0,0,57035,350000
232,9,1,0,0,3,70000,170000
328,5,0,0,0,0,45000,229999
175,8,1,1,0,1,72104,500000
329,9,0,0,0,0,15000,75000
188,4,0,0,0,0,30000,600000
330,9,1,0,0,0,80000,220000
331,11,1,0,0,1,164000,150000
152,12,0,0,0,1,124439,65000
332,12,0,0,0,1,77000,120000
95,3,1,0,0,0,90000,240000
286,2,0,0,0,0,30000,390000
333,1,0,0,0,0,50000,180000
334,1,1,0,0,1,80000,320000
229,6,0,0,0,0,5000,310000
335,6,0,0,1,0,24000,420000
314,7,0,0,0,0,10000,550000
106,4,1,0,0,3,78000,550000
336,6,1,0,0,0,50000,760000
337,23,0,0,0,1,100000,43000
204,6,0,0,0,0,20000,250000
338,7,0,0,0,0,1250,500000
339,5,0,0,0,0,17152,380000
340,7,1,0,1,0,5000,1850000
341,1,1,0,0,0,77000,350000
342,15,1,0,0,1,90000,195000
333,9,0,0,0,1,80000,225000
25,5,1,0,0,0,65000,1125000
343,9,1,0,0,0,80000,133000
117,8,0,0,0,0,24005,200000
315,6,1,0,0,0,20000,940000
344,3,1,0,0,0,120000,400000
345,11,0,0,0,1,120000,120000
346,5,1,0,0,0,80000,625000
57,14,0,0,0,0,80000,110000
143,1,1,0,0,0,100000,490000
152,11,0,0,0,1,120000,140000
347,9,1,0,0,1,149000,175000
348,14,0,0,0,1,65000,90000
349,11,1,0,0,1,100000,275000
350,9,1,0,0,1,65000,300000
351,6,0,0,0,1,19000,270000
141,10,0,0,0,1,80000,130000
352,5,0,0,0,0,30000,275000
334,1,1,0,0,0,109000,352000
353,1,3,0,0,0,90000,180000
152,1,0,0,0,0,90000,150000
350,9,1,0,0,1,65000,300000
103,10,1,0,0,1,110000,300000
354,0,1,0,0,0,120000,225000
194,3,1,0,0,0,44000,600000
355,5,0,0,0,0,80000,500000
356,6,0,0,0,0,5000,900000
122,4,0,0,0,0,61000,600000
357,9,1,0,0,1,100000,450000
345,11,0,0,0,0,27633,270000
103,10,1,0,0,3,100000,310000
358,1,3,0,0,0,100000,250000
359,7,0,1,0,0,12586,700000
360,6,1,1,0,0,38083,650000
347,1,1,1,0,0,55328,400000
160,1,1,1,0,0,81632,425000
254,4,1,1,0,0,155201,600000
361,8,1,1,0,0,93283,600000
362,11,1,1,0,0,217871,300000
363,1,1,1,0,0,90165,450000
305,3,1,1,0,0,101504,750000
364,10,1,1,0,1,86017,325000
71,8,1,1,0,1,85036,900000
365,12,0,1,0,1,91086,180000
366,8,1,1,0,1,160254,350000
361,8,1,1,0,1,125531,600000
367,7,1,0,0,0,60000,900000
368,12,1,0,0,0,100000,350000
369,8,1,0,0,3,90000,280000
370,11,1,0,0,1,120000,225000
371,3,1,0,0,0,82000,520000
372,4,1,0,0,0,60000,509999
205,7,0,0,0,0,24000,556000
373,3,1,0,0,0,120000,225000
374,8,1,1,0,0,65000,325000
334,8,1,1,0,0,65000,365000
375,5,1,1,0,0,84000,850000
376,8,1,1,0,0,75000,350000
334,0,1,1,0,0,50000,225000
152,9,0,0,0,0,50000,135000
1,0,0,1,0,0,49000,140000
377,4,1,1,0,0,560000,665000
91,5,0,1,0,0,14365,275000
378,2,1,0,1,0,41000,2750000
2,8,1,1,0,0,65000,484999
379,5,1,1,0,0,65000,565000
95,8,1,1,0,0,61083,425000
201,8,1,0,0,0,75000,925000
380,1,1,1,0,0,72000,565000
236,3,1,1,0,0,65000,525000
381,2,1,1,0,0,55000,1650000
117,5,0,1,0,1,21000,295000
382,1,0,1,1,1,66363,2050000
383,6,0,1,1,0,11700,1475000
384,2,0,0,1,0,10000,1100000
385,3,1,0,1,1,100000,4400000
386,4,0,2,0,0,7104,670000
387,5,1,2,0,0,45974,750000
388,5,0,2,0,0,55340,760000
389,2,0,1,1,1,20000,850000
390,5,1,2,0,0,61585,390000
391,4,0,2,1,1,39415,450000
392,3,0,2,0,0,29654,425000
260,4,1,2,0,0,64672,770000
393,5,1,2,1,1,54634,1150000
394,5,0,2,0,0,66521,775000
395,6,1,1,1,1,23974,1725000
396,4,1,1,1,0,43000,2150000
344,8,1,1,0,1,1000,450000
397,6,1,1,1,0,10000,3800000
398,8,1,1,1,0,86000,1580000
399,7,1,1,1,0,30000,4950000
107,4,1,0,0,0,52600,535000
400,1,0,0,0,1,110000,225000
401,2,0,1,1,0,19890,550000
386,4,0,2,0,0,7104,670000
216,5,0,2,0,0,11918,625000
402,2,0,1,1,0,10510,520000
403,4,0,1,0,0,41000,239000
404,2,1,2,1,0,47162,2600000
387,5,1,2,0,0,45974,750000
405,1,0,1,0,0,49824,229999
75,8,1,1,1,0,58500,1300000
406,14,0,1,0,0,56580,80000
407,1,1,1,0,0,52000,385000
388,5,0,2,0,0,55340,760000
95,2,1,2,0,0,46507,600000
344,8,1,1,0,1,1000,450000
397,6,1,1,1,0,10000,3800000
398,8,1,1,1,0,86000,1580000
399,7,1,1,1,0,30000,4950000
107,4,1,0,0,0,52600,535000
400,1,0,0,0,1,110000,225000
401,2,0,1,1,0,19890,550000
386,4,0,2,0,0,7104,670000
216,5,0,2,0,0,11918,625000
402,2,0,1,1,0,10510,520000
403,4,0,1,0,0,41000,239000
404,2,1,2,1,0,47162,2600000
387,5,1,2,0,0,45974,750000
405,1,0,1,0,0,49824,229999
75,8,1,1,1,0,58500,1300000
406,14,0,1,0,0,56580,80000
407,1,1,1,0,0,52000,385000
388,5,0,2,0,0,55340,760000
95,2,1,2,0,0,46507,600000
344,8,1,1,0,1,1000,450000
397,6,1,1,1,0,10000,3800000
398,8,1,1,1,0,86000,1580000
399,7,1,1,1,0,30000,4950000
107,4,1,0,0,0,52600,535000
400,1,0,0,0,1,110000,225000
401,2,0,1,1,0,19890,550000
386,4,0,2,0,0,7104,670000
216,5,0,2,0,0,11918,625000
402,2,0,1,1,0,10510,520000
403,4,0,1,0,0,41000,239000
404,2,1,2,1,0,47162,2600000
387,5,1,2,0,0,45974,750000
405,1,0,1,0,0,49824,229999
75,8,1,1,1,0,58500,1300000
406,14,0,1,0,0,56580,80000
407,1,1,1,0,0,52000,385000
388,5,0,2,0,0,55340,760000
95,2,1,2,0,0,46507,600000
344,8,1,1,0,1,1000,450000
397,6,1,1,1,0,10000,3800000
398,8,1,1,1,0,86000,1580000
399,7,1,1,1,0,30000,4950000
107,4,1,0,0,0,52600,535000
400,1,0,0,0,1,110000,225000
401,2,0,1,1,0,19890,550000
386,4,0,2,0,0,7104,670000
216,5,0,2,0,0,11918,625000
402,2,0,1,1,0,10510,520000
403,4,0,1,0,0,41000,239000
404,2,1,2,1,0,47162,2600000
387,5,1,2,0,0,45974,750000
405,1,0,1,0,0,49824,229999
75,8,1,1,1,0,58500,1300000
406,14,0,1,0,0,56580,80000
407,1,1,1,0,0,52000,385000
388,5,0,2,0,0,55340,760000
95,2,1,2,0,0,46507,600000
408,8,0,0,0,1,50000,350000
229,3,0,0,0,0,30000,114999
408,8,0,0,0,1,50000,380000
409,24,0,0,0,1,100000,95000
53,4,1,0,0,0,35000,900000
141,1,0,0,0,1,90000,200999
325,3,0,0,0,0,11451,229999
410,7,1,0,0,0,60000,800000
411,1,1,0,0,1,172000,150000
334,6,1,0,0,0,60000,600000
412,14,1,0,0,0,150000,150000
413,11,1,0,0,0,66000,150000
414,7,0,0,0,0,5000,380000
57,12,0,0,0,1,66508,80000
415,0,0,0,0,1,55000,225000
104,1,0,0,0,0,29900,75000
416,2,1,0,0,0,3000,1600000
417,1,1,0,0,0,85000,185000
418,9,1,0,0,0,50000,425000
109,10,1,0,0,1,120000,100000
419,15,0,0,0,3,90000,140000
420,2,0,0,1,0,8000,710000
421,5,0,0,1,0,7900,450000
3,2,0,0,0,0,50000,210000
150,4,0,0,0,0,25000,270000
39,11,0,0,0,0,20000,110000
422,6,0,0,0,0,17500,540000
423,15,0,0,0,0,25000,145000
301,8,1,0,0,0,206500,360000
424,8,3,0,0,0,88600,250000
425,1,1,0,0,0,80000,110000
426,15,1,0,0,2,100000,250000
363,9,1,0,0,1,186000,150000
427,10,0,0,0,0,60000,140000
428,7,0,0,0,0,11000,925000
429,2,1,0,0,0,30000,969999
430,0,2,0,0,3,80000,90000
300,23,0,0,0,3,60000,55000
342,0,1,0,0,2,100000,155000
431,7,1,0,0,0,15000,900000
432,9,0,0,0,0,90000,135000
0,1,0,0,0,0,120000,180000
2,8,1,0,0,1,100000,495000
55,11,1,0,0,3,138000,400000
342,15,1,0,0,1,110000,250000
433,5,0,0,0,2,120000,138000
434,9,0,0,1,1,70000,311000
221,5,0,0,0,0,70000,190000
232,9,1,0,0,0,140000,311000
435,11,0,0,0,0,15000,300000
436,6,0,0,0,0,20000,600000
437,11,1,0,0,0,100000,550000
438,5,0,0,1,0,70000,600000
221,6,0,0,0,0,5000,195000
439,8,0,0,0,0,27974,58000
221,6,0,0,0,0,40000,183000
440,0,0,0,0,0,80000,95000
441,8,0,0,0,0,38000,250000
441,8,0,0,0,0,38000,250000
339,3,0,0,0,0,35000,400000
223,1,1,0,0,1,60000,409999
442,16,1,0,0,1,120000,120000
443,6,0,0,1,0,18000,600000
444,4,0,0,0,0,10000,600000
175,5,1,0,0,3,90000,825000
50,4,1,0,0,1,80000,625000
445,20,1,0,0,0,1400,700000
333,9,0,0,0,0,60000,160000
152,9,0,0,0,3,60000,114999
1,11,0,0,0,0,53000,150000
446,10,1,1,0,0,100000,250000
2,1,1,1,0,1,86000,390000
344,5,1,0,0,0,100000,650000
447,4,1,0,0,0,30000,600000
164,9,0,0,0,0,120000,250000
448,9,3,0,0,1,60000,229999
369,4,1,0,0,1,50000,299000
111,10,1,0,0,1,124000,330000
449,1,0,0,0,3,100000,180000
38,2,0,0,0,0,42000,475000
65,5,1,0,0,0,100000,325000
394,4,0,1,0,0,28205,639000
450,2,0,1,1,0,32670,415000
451,4,1,1,1,0,30093,1199000
452,8,2,1,0,0,56228,525000
453,8,0,1,0,0,59319,425000
127,4,1,1,0,0,39503,699000
454,8,0,1,0,0,35299,325000
455,9,0,1,0,0,51687,275000
456,9,0,1,1,0,76259,269000
457,8,1,1,0,0,44049,399000
458,2,1,1,0,0,45087,475000
455,9,0,1,0,0,41125,249000
459,3,1,1,1,0,42215,1549000
460,9,0,1,0,0,54206,254999
461,1,0,1,0,0,52547,269000
462,3,1,1,0,0,59110,665000
463,3,0,1,0,0,54565,299000
153,10,0,1,0,1,47564,265000
460,10,0,1,0,1,45143,211000
464,8,0,1,1,1,61624,599000
465,0,1,0,0,3,195000,55000
223,3,1,0,0,0,50000,550000
466,6,1,0,1,0,68000,4000000
467,10,1,0,0,1,120000,220000
422,7,0,0,0,0,20000,500000
39,10,0,0,0,0,30000,140000
334,8,1,0,0,0,60000,325000
468,10,0,0,0,3,90000,210000
39,15,0,0,0,1,90000,110000
469,7,1,0,0,0,25000,1200000
221,2,0,0,0,0,40000,229999
400,1,0,0,0,1,110000,225000
229,12,0,0,0,0,132000,165000
470,6,0,1,1,0,10980,525000
117,6,0,1,0,0,20629,325000
471,6,1,0,0,0,50000,1500000
472,5,0,0,1,0,30000,400000
473,5,0,1,0,0,69782,550000
115,18,0,0,0,0,54000,98000
474,8,1,1,0,0,63654,900000
475,2,1,0,0,0,60000,700000
476,5,1,1,0,0,52000,890000
477,5,1,1,0,0,59385,490000
478,5,0,1,0,0,70378,525000
479,8,0,1,0,0,55425,330000
480,8,1,1,0,1,78413,550000
86,6,1,1,0,0,40890,790000
68,5,0,1,0,1,34823,350000
481,2,1,0,1,0,75000,1700000
482,2,1,1,0,0,55545,750000
374,3,1,1,0,0,56541,409999
49,4,0,0,0,0,43700,220000
483,11,0,0,0,1,120000,68000
117,2,0,0,0,0,20000,290000
484,3,1,1,0,0,27483,600000
485,7,0,0,0,0,8000,470000
61,15,0,0,0,0,30000,150000
229,3,0,1,0,1,56207,180000
486,12,0,0,0,0,70000,80000
487,6,0,0,0,0,1440,875000
